chromatin_remodeler,synonyms
ZBTB1,ZNF909
USP3,SIH003
ACTL6B,"BAF53B, arpNalpha"
TFAP2C,"TFAP2G, HAP-2G, AP2-GAMMA"
H1FOO,"H1.8, OSH1, H1oo"
SOX9,"SRXY10, CMD1, SRXX2"
RYBP,"DEDAF, YEAF1, AAP1, APAP-1"
INO80D,
PHF10,"BAF45A, XAP135"
ARID1B,"6A3-5, DAN15, BAF250B, OSA2, ELD/OSA1, MRD12, P250R"
ZBTB7A,"FBI-1, ZNF857A, LRF, ZBTB7, TIP21, FBI1, POKEMON"
FOXP3,"JM2, AIID, XPID, IPEX, PIDX, DIETER"
IFI16,"IFNGIP1, PYHIN2"
SFPQ,"POMP100, PPP1R140"
MYBBP1A,"P160, Pol5"
MTHFR,
ARID1A,"ELD, BAF250A, BM029, C1ORF4, BAF250, MRD14, OSA1, HELD, SMARCF1, HOSA1, B120, P270"
CHD1L,CHDL
GLMN,"FKBPAP, FAP48, FAP68, GVM, GLML, VMGLOM"
RNF168,HRNF168
KAT5,"TIP60, HTATIP, PLIP, HTATIP1, CPLA2"
KDM5D,"SMCY, HYA, JARID1D, HY"
INO80E,CCDC95
PCGF1,"NSPC1, 2010002K04RIK, RNF68, RNF3A-2"
GATAD2A,P66ALPHA
FOXA1,"TCF3A, HNF3A"
BAZ2B,WALP4
BICRAL,
CHD4,"CHD-4, MI2-BETA, SIHIWES, MI-2B"
PCGF2,"ZNF144, MEL-18, RNF110"
LOC100129053,"JMJD2F, KDM4F"
SMARCB1,"SNF5, PPP1R144, RDT, SWNTS1, HSNFS, INI1, SFH1P, MRD15, SNF5L1, SNR1, RTPS1, BAF47"
CHD6,"RIGB, CHD-6"
YY1,"GADEVS, YIN-YANG-1, INO80S, UCRBP"
RBBP4,"NURF55, RBAP48, LIN-53"
NUDT5,"YSA1, YSA1H, YSAH1, hNUDT5, HYSAH1"
SMARCA4,"RTPS2, HSNF2B, MRD16, CSS4, BAF190A, BRG1, SNF2L4"
RING1,"RING1A, RNF1"
HDGFL2,
HDGFL3,
CHRAC1,"YCL1, CHARC1, CHARC15, CHRAC-1, CHRAC-15, CHRAC15"
CHD2,EEOC
TNP1,TP1
TADA2A,"ADA2A, ADA2, KL04P, TADA2L, HADA2"
RNF8,HRNF8
HDAC6,"PPP1R90, CPBHM, JM21"
PRIMPOL,"MYP22, Primpol1, CCDC111"
PER1,"HPER, PER, RIGUI"
HDAC5,"NY-CO-9, HD5"
PWWP2B,"PWWP2, PP8607, BA432J24.1"
ACTB,"PS1TP5BP1, BRWS1"
HPF1,
TFPT,"FB1, AMIDA, INO80F"
SLFN11,SLFN8/9
MECOM,"MDS1, EVI1, RUSAT2, MDS1-EVI1, PRDM3, KMT8E"
MTF2,"M96, TDRD19A, DJ976O13.2, PCL2"
CECR2,
RUVBL1,"TIP49, TIP49A, RVB1, ECP54, PONTIN52, ECP-54, NMP238, PONTIN, NMP 238, INO80H"
SMARCD3,"CRACD3, BAF60C"
YEATS4,"NUBI-1, 4930573H17RIK, YAF9, GAS41, B230215M10RIK"
KDM5A,"RBBP-2, RBBP2, RBP2"
MBD2,"NY-CO-41, DMTASE"
LIN54,"JC8.6, TCX1, CXCDC1, MIP120"
SETD7,"KMT7, SET9, SET7/9"
SIRT2,"SIR2L, SIR2, SIR2L2"
KDM4A,"JMJD2, JMJD2A, JHDM3A, TDRD14A"
GET1,
KDM4C,"JMJD2C, GASC1, JHDM3C, TDRD14C"
APLF,"ZCCHH1, C2ORF13, APFL, PALF, XIP1"
CHD8,"AUTS18, HELSNF1"
CGGBP1,"CGGBP, P20-CGGBP"
ZNF335,"MCPH10, NIF-1, NIF1, NIF2"
SMARCE1,"CSS5, BAF57"
