chromatin_remodeler,synonyms
ERCC6,"UVSS1, COFS1, RAD26, COFS, POF11, ARMD5, CKN2"
ACTR5,INO80M
H1FOO,"H1oo, OSH1, H1.8"
HILS1,H1.9
HDAC6,"JM21, PPP1R90, CPBHM"
DDX23,"PRPF28, U5-100K, SNRNP100, PRP28, U5-100KD"
NUDT5,"HYSAH1, YSA1, YSA1H, hNUDT5, YSAH1"
PCGF1,"RNF68, NSPC1, 2010002K04RIK, RNF3A-2"
KAT2B,"PCAF, CAF, P/CAF"
CHD3,"ZFH, MI2-ALPHA, MI-2A"
BCL7C,
SMARCE1,"BAF57, CSS5"
MTA2,"PID, MTA1L1"
MORC2,"ZCW3, ZCWCC1, CMT2Z"
GPX1,"GPXD, GSHPX1"
HDGFL2,
SRPK2,SFRSK2
ZBTB1,ZNF909
TRIP12,"ULF, MRD49, TRIP-12"
POLE3,"CHRAC2, CHRAC17, YBL1, CHARAC17"
SMARCD1,"Rsc6p, CRACD1, BAF60A"
HCFC1,"CFF, HCF, HCF-1, PPP1R89, HCF1, HFC1, MRX3, VCAF"
PER2,"FASPS, FASPS1"
RUVBL1,"PONTIN, ECP-54, NMP238, PONTIN52, RVB1, NMP 238, TIP49A, ECP54, INO80H, TIP49"
PHC1,"RAE28, EDR1, HPH1, MCPH11"
CHD1,"PILBOS, CHD-1"
SUV39H2,KMT1B
SATB1,
SKP1,"TCEB1L, SKP1A, OCP2, OCP-II, P19A, EMC19"
DPF3,"BAF45C, CERD4"
HPF1,
ATRX,"ATR2, RAD54L, XNP, XH2, MRX52, MRXHF1, SFM1, RAD54, JMS, ZNF-HX"
TFAP2C,"AP2-GAMMA, HAP-2G, TFAP2G"
BMI1,"flvi-2/bmi-1, PCGF4, FLVI2/BMI1, RNF51"
PAK1,"PAKALPHA, IDDMSSD"
USP15,"UNPH4, UNPH-2"
BCOR,"MAA2, ANOP2, MCOPS2"
ZNF335,"MCPH10, NIF1, NIF2, NIF-1"
HNRNPC,"HNRNP, C2, HNRPC, SNRPC"
KDM5A,"RBBP-2, RBP2, RBBP2"
SOX9,"SRXY10, CMD1, SRXX2"
PADI2,"PAD2, PAD-H19, PDI2"
CHD1L,CHDL
MIER1,"ER1, MI-ER1"
TDG,HTDG
PHB,"HEL-215, PHB1, HEL-S-54E"
CHRAC1,"CHARC15, CHRAC-1, CHARC1, CHRAC-15, YCL1, CHRAC15"
EZH1,KMT6B
PCGF6,"RNF134, MBLR"
DEPDC1B,"XTP1, BRCC3"
PHF10,"XAP135, BAF45A"
KAT2A,"GCN5L2, PCAF-B, HGCN5, GCN5"
TET1,"BA119F7.1, LCX, CXXC6, MLL-TET1"
SETD2,"HIF-1, HYPB, HBP231, P231HBP, HIP-1, KMT3A, HSPC069, SET2, LLS"
CBX3,"HECH, HP1HS-GAMMA, HP1-GAMMA"
CHD2,EEOC
H3C1,
ZBTB7A,"FBI1, POKEMON, TIP21, FBI-1, ZBTB7, ZNF857A, LRF"
SMARCA4,"MRD16, BAF190A, HSNF2B, RTPS2, SNF2L4, BRG1, CSS4"
BRD9,"LAVS3040, PRO9856"
DPF2,"CSS7, UBI-D4, UBID4, REQ"
BAZ1A,"WALP1, WCRF180, ACF1, HACF1"
LOC100129053,"JMJD2F, KDM4F"
PIH1D1,"Pih1, NOP17"
CECR2,
RYBP,"APAP-1, AAP1, YEAF1, DEDAF"
MACROH2A1,
GLMN,"FAP48, GLML, FAP68, FKBPAP, GVM, VMGLOM"
HDAC1,"RPD3, GON-10, HD1, RPD3L1"
NPM3,"TMEM123, PORMIN"
ACTL6A,"ARPN-BETA, INO80K, ACTL6, BAF53A, Arp4"
FOXP3,"XPID, AIID, PIDX, DIETER, IPEX, JM2"
SMARCA2,"STH1P, HBRM, NCBRS, HSNF2A, BAF190, BRM, SNF2LA, SNF2, SNF2L2"
SATB2,GLSS
KDM5B,"PLU-1, PPP1R98, RBBP2H1A, MRT65, CT31, RBP2-H1, PUT1, JARID1B, PLU1"
DAXX,"DAP6, EAP1, BING2"
HDAC5,"HD5, NY-CO-9"
INO80E,CCDC95
DTX3L,"RNF143, BBAP"
ARID1A,"SMARCF1, P270, B120, HOSA1, OSA1, BAF250A, BM029, ELD, C1ORF4, MRD14, HELD, BAF250"
PWWP2B,"PWWP2, PP8607, BA432J24.1"
TNP1,TP1
PBRM1,"PB1, BAF180"
MBD3,
SETD4,"C21ORF27, C21ORF18"
MTF2,"PCL2, DJ976O13.2, TDRD19A, M96"
BRPF1,"BR140, IDDDFP"
SF3B1,"PRPF10, SF3B155, SAP155, HSH155, PRP10"
BABAM1,"C19ORF62, MERIT40, NBA1, HSPC142"
KDM4C,"JMJD2C, GASC1, JHDM3C, TDRD14C"
INO80D,
KDM5C,"SMCX, XE169, JARID1C, MRXSJ, MRXJ, MRX13, MRXSCJ, DXS1272E"
KAT5,"CPLA2, PLIP, TIP60, HTATIP, HTATIP1"
RBBP7,RBAP46
PAXIP1,"PTIP, PAXIP1L, TNRC2, CAGF29, CAGF28, PACIP1"
TADA2A,"ADA2, ADA2A, KL04P, TADA2L, HADA2"
DR1,"NCB2, NC2, NC2B, NC2-BETA"
CHD7,"KAL5, IS3, CRG, HH5"
SMARCC2,"CRACC2, BAF170"
SLFN11,SLFN8/9
RNF2,"DING, RING1B, BAP-1, BAP1, RING2, HIPI3"
MYBBP1A,"P160, Pol5"
HDAC2,"YAF1, HD2"
YEATS4,"YAF9, B230215M10RIK, GAS41, NUBI-1, 4930573H17RIK"
CHD8,"AUTS18, HELSNF1"
HDAC4,"HDAC-4, AHO3, HDACA, HA6116, BDMR, HD4, HDAC-A"
BICRA,
NFAT5,"NFATL1, TONEBP, NF-AT5, NFATZ, OREBP"
TADA2B,"ADA2B, ADA2(BETA)"
CHD6,"RIGB, CHD-6"
MYC,"C-MYC, BHLHE39, MYCC, MRTL"
CHTOP,"PP7704, SRAG-3, SRAG, SRAG-5, C1ORF77, FL-SRAG"
KDM6B,JMJD3
ZNHIT1,"CG1I, ZNFN4A1"
DPF1,"NEUD4, NEURO-D4, BAF45B"
REST,"DFNA27, NRSF, XBR, WT6, HGF5, GINGF5"
INO80C,"C18ORF37, IES6, HIES6"
UCHL5,"UCH37, CGI-70, INO80R, UCH-L5"
MTA1,
KDM5D,"HYA, HY, JARID1D, SMCY"
HDGFL1,"PWWP1, Hdgfrp1, DJ309H15.1, HRP-1"
KDM4E,"KDM4DL, KDM5E, JMJD2E"
NFRKB,INO80G
ACTR8,"INO80N, HARP8, ARP8"
SUDS3,"SDS3, SAP45"
MYSM1,"2ADUB, 2A-DUB, BMFS4"
CXORF67,CXorf67
BAZ2A,"TIP5, WALP3"
COPRS,"C17ORF79, HSA272196, COPR5"
BRD7,"CELTIX1, NAG4"
ZNF827,
RNF168,HRNF168
HDGF,HMG1L2
SMARCAD1,"HEL1, ADERM, BASNS"
SNAI1,"DJ710H13.1, SNAIL, SNA, SNAH, SNAIL1, SLUGH2"
RNF8,HRNF8
SUPT6H,"SPT6, EMB-5, SPT6H"
LIN54,"MIP120, TCX1, CXCDC1, JC8.6"
BCL7A,BCL7
KDM4D,JMJD2D
TOP1,TOPI
ARID1B,"BAF250B, DAN15, MRD12, OSA2, ELD/OSA1, 6A3-5, P250R"
KDM4B,"TDRD14B, JMJD2B"
SMARCC1,"Rsc8, CRACC1, BAF155, SWI3, SRG3"
DDX21,"GURDB, GUA, RH-II/GU, RH-II/GUA"
C6ORF89,"C6orf89, BRAP, PS1TP5TP1"
SMARCA5,"SNF2H, HSNF2H, HISWI, WCRF135"
ZNF274,"ZKSCAN19, ZSCAN51, HFB101, ZF2"
SETDB2,"C13ORF4, CLLD8, CLLL8, KMT1F"
ESR1,"ESRA, NR3A1, Era, ESR, ESTRR"
BCL7B,
CGGBP1,"CGGBP, P20-CGGBP"
SMARCB1,"PPP1R144, SWNTS1, SNF5L1, MRD15, RDT, RTPS1, BAF47, SNR1, INI1, SFH1P, SNF5, HSNFS"
BAZ2B,WALP4
